2046|ORGANIZACION SOLARTE Y CIA. S. C. A. Calle 12|Aduanas de Bogotá|DEP PRIV|CALLE 12 B No. 35 - 69|1991-11-19|9999-12-31
2047|ORGANIZACION SOLARTE Y CIA. S. C. A. Cra 26|Aduanas de Bogotá|DEP PRIV|CRA. 26 No. 11 - 85|1991-11-19|9999-12-31
2048|LEGRAND  COLOMBIA S.A.|Aduanas de Bogotá|DEP PRIV|Calle 65 A No. 93-91|2006-12-13|2017-01-19
2049|POLUX SUMINISTROS S A|Aduanas de Bogotá|DEP PRIV|Auto. Medellin Km 1 Par Empresarial San Bernardo BG. 3|2008-08-13|2016-10-26
2050|ABBOTT LABORATORIES DE COLOMBIA S.A.|Aduanas de Bogotá|DEP PRIV|TRANSVERSAL 93 No.51-98.|2006-09-01|2016-10-11
2051|GENERAL MOTORS COLMOTORES S A|Aduanas de Bogotá|DEP PRIV|AVENIDA BOYACA CALLE 56A SUR No.33-53|2008-02-14|2015-12-13
2052|EJERCITO NACIONAL CONTADURIA PRINCIPAL DEL COMANDO DEL EJERCITO|Aduanas de Bogotá|DEP PRIV|CALLE 103 A CARRERA 11 B CANTON NORTE|1991-11-19|2017-12-13
2053|INCA FRUEHAUF - INCA S.A.|Aduanas de Bogotá|DEP PRIV|CALLE 20 No.99-15|1991-11-19|2016-10-06
2054|INDUSTRIA MILITAR|Aduanas de Bogotá|DEP PRIV|CARRERA 7 No. 22 A -01 SOACHA|2006-10-24|2016-10-07
2056|SOCIEDAD DE FABRICACION DE AUTOMOTORES S A SOFASA S A|Aduanas de Bogotá|DEP PRIV|KM. 17 VIA LA CARO.CARR.CENTRAL CHIA|2007-03-12|2017-03-16
2057|STANTON S.A.S.|Aduanas de Bogotá|DEP PRIV|PLANTADELMUÑA.KM.25 CARRETERA A SIBATE|1991-11-19|2017-01-13
2058|GENERAL DE EQUIPOS DE COLOMBIA S A GECOLSA|Aduanas de Bogotá|DEP PRIV|AVENIDA DE LAS AMERICAS No.41-31|1991-11-19|2016-09-06
2060|COMANDO ARMADA NACIONAL|Aduanas de Bogotá|DEP PRIV|CARRERA 63 A No. 14-99|1991-11-19|2017-04-25
2061|FONDO ROTATORIO DE LA POLICIA NACIONAL|Aduanas de Bogotá|DEP PRIV|CARRERA 48 No. 46 A - 30 SUR|2007-05-24|2017-06-28
2062|SIEMENS SOCIEDAD ANONIMA|Aduanas de Bogotá|DEP PRIV|CALLE 12 No.65-51|2006-05-08|2016-05-10
2065|PROTELA S A|Aduanas de Bogotá|DEP PRIV|TV 93 65 A 82|2008-08-05|2013-08-08
2066|GLAXOSMITHKLINE COLOMBIA S A|Aduanas de Bogotá|DEP PRIV|CALLE 80 No.116 B-05|1991-11-19|2014-11-04
2067|ORGANIZACION SOLARTE Y CIA. S. C. A.|Aduanas de Bogotá|DEP PRIV|CRA. 1 No. 12-81 MADRID-CUNDINAMARCA |1991-11-19|9999-12-31
2068|MPS MAYORISTA DE COLOMBIA S.A.|Aduanas de Bogotá|DEP PRIV|AUTOPISTA BOGOTA - MEDELLIN CALLE 80 KM. 2 VIA COTA|1991-11-19|2016-04-12
2069|ACERIAS PAZ DE RIO S A EN EJECUCION DE ACUERDO DE REESTRUCTURACION|Aduanas de Bogotá|DEP PRIV|HACIENDA BELENCITO - PLANTA INDUSTRIAL SIDERURGICA ACERIAS PAZ DEL RIO|1991-11-19|9999-12-31
2070|GROUPE SEB COLOMBIA S.A.|Aduanas de Bogotá|DEP PRIV|CAJICA KM. 1 VIA ZIPAQUIRA |1991-11-19|2016-06-08
2071|Repremundo No.1|Aduanas de Bogotá|DEP PUBL|CARRERA 97 N 24C-80|2006-11-16|2017-01-02
2072|Repremundo No.2|Aduanas de Bogotá|DEP PUBL|AVENIDA CARRERA 97 No. 24C-91|2006-11-16|2017-01-04
2074|Almacenar S.A.- Bogota - Cra 60|Aduanas de Bogotá|DEP PUBL|CARRERA 60 No.15-07|2007-12-31|2012-12-31
2076|SUPPLA SA - Bogota Diagonal 18|Aduanas de Bogotá|DEP PUBL|TRANSVERSAL 18 No.19-63|2008-09-09|2013-09-09
2077|Almagrario S.A. - Bogota. Av.Eldorado|Aduanas de Bogotá|DEP PUBL|CALLE 19 A No. 120 - 09|2007-11-26|2012-11-26
2078|Almaviva S.A. Bogota - Cra 47.|Aduanas de Bogotá|DEP PUBL|CARRERA 47 NO. 12A-74|2008-04-15|2013-04-15
2079|Almaviva S.A. Bogota - Alamos|Aduanas de Bogotá|DEP PUBL|CALLE 65 BIS No. 89 A 59|2009-01-16|2013-12-18
2080|Alpopular S.A. Fontibon|Aduanas de Bogotá|DEP PUBL|DIAGONAL 24 C No. 96 B - 50|2006-08-24|2016-10-06
2081|Dep. Aduanero Aviatur S.A.Bogota Clle 40|Aduanas de Bogotá|DEP PUBL|CALLE 40 No.102-24|2007-12-11|2012-12-11
2084|Consimex S.A. Bogota|Aduanas de Bogotá|DEP PUBL|DIAGONAL 24 B No. 96 B 51|2006-06-06|2016-08-08
2085|Dhl Global Forwarding Dep.Adu( Colom)|Aduanas de Bogotá|DEP PUBL|AVENIDA ELDORADO No. 83-09|2008-01-23|2013-01-23
